ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.910438,79.206731,399308.12596322485,-1102448.9573141953,889.5069,13275.595324210288
334.911834,79.207408,399309.7959986108,-1102369.6840178778,890.1194,13354.88620973467
334.91323,79.208086,399311.4252232278,-1102290.308646656,890.6885,13434.278299576374
334.912111,79.207542,399310.1393403439,-1102353.988581481,890.2473,13497.971215933565
334.912036,79.20661700000001,399343.1154278375,-1102449.5305254047,889.559,13599.043889763458
334.91343,79.20729399999999,399344.7450530581,-1102370.2710063905,890.1513,13678.320160063806
334.914825,79.207971,399346.3903235438,-1102291.0051653467,890.7299,13757.603074183748
334.913705,79.207427,399345.0867466395,-1102354.6921995871,890.2857,13821.303448147255
334.91362999999996,79.206503,399378.02827026154,-1102450.130526394,889.5994,13922.266897980422
334.915024,79.20717900000001,399379.69318595034,-1102370.9735678572,890.2064,14001.44136374454
334.916419,79.207856,399381.336534244,-1102291.7075642054,890.7877,14080.724400571706
334.915298,79.207312,399380.0152621871,-1102355.401699022,890.3409,14144.432238157628
334.91522599999996,79.206388,399413.0171542652,-1102450.818219587,889.6245,14245.394791995544
334.91661899999997,79.207064,399414.66090781166,-1102371.6680690309,890.2607,14324.562009066613
334.91801200000003,79.20774,399416.30107573443,-1102292.518564568,890.8439,14403.728505815845
334.916892,79.207197,399414.9633664057,-1102356.1031393863,890.3939,14467.327150621235
334.916819,79.206273,399447.9486630223,-1102451.5257361273,889.6602,14568.2900238058
334.918211,79.206949,399449.57125853805,-1102372.382394902,890.3075,14647.449996497293
334.919603,79.207625,399451.190271204,-1102293.2396999216,890.8537,14726.60924971995
334.91848500000003,79.207082,399449.89257978875,-1102356.8104622597,890.4302,14790.193255784829
334.91841,79.20615600000001,399482.9164803695,-1102452.4515482339,889.7234,14891.37524694871
334.919803,79.20683199999999,399484.55640557985,-1102373.3010709942,890.3392,14970.542711237751
334.921196,79.207509,399486.15551899537,-1102294.0485225387,890.814,15049.811391057754
334.92008,79.206967,399484.8606215673,-1102357.5027524773,890.4466,15113.278831973908
334.91999500000003,79.206038,399517.8064334229,-1102453.520826566,889.7731,15214.791870892728
334.92138900000003,79.206714,399519.4636990989,-1102374.3632112886,890.3543,15293.966832755263
334.922784,79.207391,399521.0993860584,-1102295.0965528905,890.8094,15373.250365758207
334.921672,79.206852,399519.77129288035,-1102358.2148710408,890.4555,15436.382654783794
334.921587,79.20592099999999,399552.794215406,-1102454.4374883957,889.8129,15538.114191205745
334.922978,79.206597,399554.3918491329,-1102375.3006288807,890.3393,15617.267175782572
334.924368,79.207272,399556.00389601744,-1102296.2741049863,890.8326,15696.310139884317
334.923265,79.20673599999999,399554.73878270737,-1102359.021645512,890.4346,15759.070432695158
334.92317599999996,79.205805,399587.68740329985,-1102455.271265147,889.8232,15860.80342084964
334.924566,79.206479,399589.3383514535,-1102376.3466488398,890.3432,15939.745302566844
334.925957,79.207154,399590.967736114,-1102297.312986576,890.8316,16018.795759018376
334.92485899999997,79.206621,399589.6886340103,-1102359.7176404756,890.4414,16081.213520356965
334.924767,79.205689,399622.61942851916,-1102456.0900071485,889.846,16183.056881874096
334.926156,79.206363,399624.2492294139,-1102377.1722022898,890.3475,16261.991514163505
334.927545,79.207037,399625.87546562304,-1102298.2550402556,890.82,16340.925430243598
334.926452,79.206506,399624.61959424726,-1102360.4195209034,890.4492,16403.102595401873
334.926363,79.205575,399657.5735444738,-1102456.6673558021,889.8736,16504.835621299233
334.92775,79.206248,399659.20018419024,-1102377.86605434,890.3374,16583.653709761777
334.92913799999997,79.20692199999999,399660.8052679162,-1102298.9557060674,890.8286,16662.58038052824
334.928045,79.206391,399659.5509031782,-1102361.1203132353,890.4416,16724.757641767705
